BaRT2v18chr3HG122880.8	e0c507447a8cc27375bf2ecb1307867f	613	Gene3D	G3DSA:1.10.510.10	Transferase(Phosphotransferase) domain 1	365	580	7.6E-59	T	01-11-2021	-	-
BaRT2v18chr3HG122880.8	e0c507447a8cc27375bf2ecb1307867f	613	Pfam	PF13855	Leucine rich repeat	102	161	1.3E-7	T	01-11-2021	IPR001611	Leucine-rich repeat
BaRT2v18chr3HG122880.8	e0c507447a8cc27375bf2ecb1307867f	613	Pfam	PF08263	Leucine rich repeat N-terminal domain	35	74	7.6E-11	T	01-11-2021	IPR013210	Leucine-rich repeat-containing N-terminal, plant-type
BaRT2v18chr3HG122880.8	e0c507447a8cc27375bf2ecb1307867f	613	ProSitePatterns	PS00107	Protein kinases ATP-binding region signature.	294	316	-	T	01-11-2021	IPR017441	Protein kinase, ATP binding site
BaRT2v18chr3HG122880.8	e0c507447a8cc27375bf2ecb1307867f	613	PANTHER	PTHR47988	SOMATIC EMBRYOGENESIS RECEPTOR KINASE 1	6	613	0.0	T	01-11-2021	-	-
BaRT2v18chr3HG122880.8	e0c507447a8cc27375bf2ecb1307867f	613	ProSitePatterns	PS00108	Serine/Threonine protein kinases active-site signature.	411	423	-	T	01-11-2021	IPR008271	Serine/threonine-protein kinase, active site
BaRT2v18chr3HG122880.8	e0c507447a8cc27375bf2ecb1307867f	613	PANTHER	PTHR47988:SF2	PROTEIN NSP-INTERACTING KINASE 3	6	613	0.0	T	01-11-2021	-	-
BaRT2v18chr3HG122880.8	e0c507447a8cc27375bf2ecb1307867f	613	Pfam	PF00069	Protein kinase domain	289	558	1.3E-42	T	01-11-2021	IPR000719	Protein kinase domain
BaRT2v18chr3HG122880.8	e0c507447a8cc27375bf2ecb1307867f	613	SUPERFAMILY	SSF52058	L domain-like	35	202	5.33E-35	T	01-11-2021	-	-
BaRT2v18chr3HG122880.8	e0c507447a8cc27375bf2ecb1307867f	613	Gene3D	G3DSA:3.30.200.20	Phosphorylase Kinase; domain 1	259	364	6.5E-34	T	01-11-2021	-	-
BaRT2v18chr3HG122880.8	e0c507447a8cc27375bf2ecb1307867f	613	ProSiteProfiles	PS50011	Protein kinase domain profile.	288	571	35.255	T	01-11-2021	IPR000719	Protein kinase domain
BaRT2v18chr3HG122880.8	e0c507447a8cc27375bf2ecb1307867f	613	SMART	SM00220	serkin_6	288	561	1.5E-28	T	01-11-2021	IPR000719	Protein kinase domain
BaRT2v18chr3HG122880.8	e0c507447a8cc27375bf2ecb1307867f	613	SUPERFAMILY	SSF56112	Protein kinase-like (PK-like)	266	562	5.12E-73	T	01-11-2021	IPR011009	Protein kinase-like domain superfamily
BaRT2v18chr3HG122880.8	e0c507447a8cc27375bf2ecb1307867f	613	Gene3D	G3DSA:3.80.10.10	Ribonuclease Inhibitor	31	216	4.6E-52	T	01-11-2021	IPR032675	Leucine-rich repeat domain superfamily
BaRT2v18chr3HG123480.11	1d1536128f515295071a4771360270c7	81	PANTHER	PTHR11567	ACID PHOSPHATASE-RELATED	16	69	3.5E-12	T	01-11-2021	-	-
BaRT2v18chr3HG123480.11	1d1536128f515295071a4771360270c7	81	PANTHER	PTHR11567:SF25	PROTEIN FRA10AC1	16	69	3.5E-12	T	01-11-2021	-	-
BaRT2v18chr3HG123480.7	1d1536128f515295071a4771360270c7	81	PANTHER	PTHR11567	ACID PHOSPHATASE-RELATED	16	69	3.5E-12	T	01-11-2021	-	-
BaRT2v18chr3HG123480.7	1d1536128f515295071a4771360270c7	81	PANTHER	PTHR11567:SF25	PROTEIN FRA10AC1	16	69	3.5E-12	T	01-11-2021	-	-
BaRT2v18chr3HG123090.11	1266572e9a581795ea5bb2acc903142d	1154	Coils	Coil	Coil	1148	1154	-	T	01-11-2021	-	-
BaRT2v18chr3HG123090.11	1266572e9a581795ea5bb2acc903142d	1154	SUPERFAMILY	SSF48371	ARM repeat	206	942	3.17E-7	T	01-11-2021	IPR016024	Armadillo-type fold
BaRT2v18chr3HG123090.11	1266572e9a581795ea5bb2acc903142d	1154	Pfam	PF12530	Protein of unknown function (DUF3730)	4	79	8.1E-12	T	01-11-2021	IPR022542	Domain of unknown function DUF3730
BaRT2v18chr3HG123090.11	1266572e9a581795ea5bb2acc903142d	1154	PANTHER	PTHR16212	FOCADHESIN FAMILY MEMBER	4	1152	0.0	T	01-11-2021	-	-
BaRT2v18chr3HG123480.6	01a97a8696c7918d4f24cd15004c6bda	131	PANTHER	PTHR11567:SF25	PROTEIN FRA10AC1	16	129	2.7E-46	T	01-11-2021	-	-
BaRT2v18chr3HG123480.6	01a97a8696c7918d4f24cd15004c6bda	131	PANTHER	PTHR11567	ACID PHOSPHATASE-RELATED	16	129	2.7E-46	T	01-11-2021	-	-
BaRT2v18chr3HG123480.6	01a97a8696c7918d4f24cd15004c6bda	131	Pfam	PF09725	Folate-sensitive fragile site protein Fra10Ac1	59	129	1.7E-28	T	01-11-2021	IPR019129	Folate-sensitive fragile site protein Fra10Ac1
BaRT2v18chr3HG122970.1	42fa077e170b56995a4915d6170aa2d7	566	Gene3D	G3DSA:1.25.40.10	-	286	393	7.8E-25	T	01-11-2021	IPR011990	Tetratricopeptide-like helical domain superfamily
BaRT2v18chr3HG122970.1	42fa077e170b56995a4915d6170aa2d7	566	Gene3D	G3DSA:1.25.40.10	-	475	565	7.9E-15	T	01-11-2021	IPR011990	Tetratricopeptide-like helical domain superfamily
BaRT2v18chr3HG122970.1	42fa077e170b56995a4915d6170aa2d7	566	ProSiteProfiles	PS51375	Pentatricopeptide (PPR) repeat profile.	268	302	5.579	T	01-11-2021	IPR002885	Pentatricopeptide repeat
BaRT2v18chr3HG122970.1	42fa077e170b56995a4915d6170aa2d7	566	ProSiteProfiles	PS51375	Pentatricopeptide (PPR) repeat profile.	108	143	5.459	T	01-11-2021	IPR002885	Pentatricopeptide repeat
BaRT2v18chr3HG122970.1	42fa077e170b56995a4915d6170aa2d7	566	TIGRFAM	TIGR00756	PPR: pentatricopeptide repeat domain	446	475	1.6E-5	T	01-11-2021	IPR002885	Pentatricopeptide repeat
BaRT2v18chr3HG122970.1	42fa077e170b56995a4915d6170aa2d7	566	TIGRFAM	TIGR00756	PPR: pentatricopeptide repeat domain	341	372	2.7E-8	T	01-11-2021	IPR002885	Pentatricopeptide repeat
BaRT2v18chr3HG122970.1	42fa077e170b56995a4915d6170aa2d7	566	TIGRFAM	TIGR00756	PPR: pentatricopeptide repeat domain	376	409	2.2E-6	T	01-11-2021	IPR002885	Pentatricopeptide repeat
BaRT2v18chr3HG122970.1	42fa077e170b56995a4915d6170aa2d7	566	TIGRFAM	TIGR00756	PPR: pentatricopeptide repeat domain	482	510	7.5E-4	T	01-11-2021	IPR002885	Pentatricopeptide repeat
BaRT2v18chr3HG122970.1	42fa077e170b56995a4915d6170aa2d7	566	TIGRFAM	TIGR00756	PPR: pentatricopeptide repeat domain	305	338	6.0E-6	T	01-11-2021	IPR002885	Pentatricopeptide repeat
BaRT2v18chr3HG122970.1	42fa077e170b56995a4915d6170aa2d7	566	TIGRFAM	TIGR00756	PPR: pentatricopeptide repeat domain	519	544	1.4E-5	T	01-11-2021	IPR002885	Pentatricopeptide repeat
BaRT2v18chr3HG122970.1	42fa077e170b56995a4915d6170aa2d7	566	ProSiteProfiles	PS51375	Pentatricopeptide (PPR) repeat profile.	513	547	8.944	T	01-11-2021	IPR002885	Pentatricopeptide repeat
BaRT2v18chr3HG122970.1	42fa077e170b56995a4915d6170aa2d7	566	ProSiteProfiles	PS51375	Pentatricopeptide (PPR) repeat profile.	408	442	10.063	T	01-11-2021	IPR002885	Pentatricopeptide repeat
